wikipedia_title,wikipedia_url,question_original,question,question_type,answer,evidence,evidence_section_id,evidence_section_title,dataset_name,dataset_category_id,wikipedia_url_used_in_train,encyclopedic_vqa_split,dataset_image_ids
Zenaida macroura,https://en.wikipedia.org/wiki/Mourning_dove,What does this bird eat?,What does this bird eat?,templated,eat almost exclusively seeds,"Mourning doves eat almost exclusively seeds, but the young are fed crop milk by their parents. It is the national bird of the British Virgin Islands.",0,Mourning dove,inaturalist,3547,True,test,2737385
Filipendula vulgaris,https://en.wikipedia.org/wiki/Filipendula_vulgaris,Can I eat this plant (or it fruits)?,Can I eat this plant or it fruits?,templated,roots and young leaves can be cooked as a vegetable or eaten raw as a salad,"Propagation is by seed and the division of the creeping roots. The tuberous roots and young leaves can be cooked as a vegetable or eaten raw as a salad. The taste is bitter sweet. The mature leaves smell of oil of wintergreen when crushed, due to the release of methyl salicylate.",3,Cultivation,inaturalist,9383,True,test,2754774
Bagrada hilaris,https://en.wikipedia.org/wiki/Bagrada_hilaris,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,Chile,"Past infestations have been reported in India. It was found for the first time in Chile in 2016, where it rapidly established and began generating economic loss as well as invading homes in several Chilean localities.",0,Bagrada hilaris,inaturalist,607,True,test,2696648
Brachythemis contaminata,https://en.wikipedia.org/wiki/Brachythemis_contaminata,Where is the nest of [this insect]?,Where is the nest of this insect?,templated,"weedy ponds, lakes, and slowly moving streams,sluggish waters,sewage canals, tanks, ponds and ditches.  Brachythemis contaminata on Nelumbo nucifera leaf, in a pond","It breeds in weedy ponds, lakes, and slowly moving streams; especially in sluggish waters. It is very common along sewage canals, tanks, ponds and ditches.",1,Description and habitat,inaturalist,2471,True,test,2732929
Saturnia pavonia,https://en.wikipedia.org/wiki/Saturnia_pavonia,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,Palearctic region  and British Isles,"Saturnia pavonia, the small emperor moth, is a moth of the family Saturniidae. It was first described by Carl Linnaeus in his 1758 10th edition of Systema Naturae. Sometimes, the incorrect genus name Pavonia is still used for this species. This moth occurs throughout the Palearctic region and is the only member of its family to be found in the British Isles, where it is usually called simply the emperor moth.",0,Saturnia pavonia,inaturalist,2166,True,test,2721355
Enallagma cyathigerum,https://en.wikipedia.org/wiki/Enallagma_cyathigerum,Which animal eats [this insect]?,Which animal eats this insect?,templated,fish and larvae bigger than them.,They are important within the trophic levels as they are an intermediate predator. They consume smaller larvae and they are preyed on by fish and larvae bigger than them.,1,Habitat,inaturalist,2369,True,test,2783103
Enallagma cyathigerum,https://en.wikipedia.org/wiki/Enallagma_cyathigerum,Where is [this insect] native?,Where is this insect native?,templated,latitudes 40°N and 72°N,"Enallagma cyathigerum (common blue damselfly, common bluet, or northern bluet) is a species found mainly between latitudes 40°N and 72°N; It is widely distributed in the Palearctic, and the Nearctic species Enallagma annexum was at one time considered to be synonymous with it",0,Enallagma cyathigerum,inaturalist,2369,True,test,2732742
Larus michahellis,https://en.wikipedia.org/wiki/Yellow-legged_gull,Which animals eat this bird?,Which animals eat this bird?,templated,rats and rock doves.,"Like most Larus gulls, they are omnivores and opportunistic foragers. They will scavenge on rubbish tips and elsewhere, as well as seeking suitable prey in fields or on the coast, or robbing smaller gulls and other seabirds of their catches. Although urban populations are generally opportunistic scavengers, they can shift to a predatory diet if necessary; this was observed during the lockdown of Italy in 2020, when the lack of food scraps led the yellow-legged gulls of Rome to take prey as large as rats and rock doves.",4,Diet,inaturalist,3423,True,test,2733478
Patagioenas cayennensis,https://en.wikipedia.org/wiki/Pale-vented_pigeon,In which country or region does this animal live?,In which country or region does this animal live?,templated,"southern Mexico south to Bolivia and northern Argentina and on Tobago and Trinidad,Uruguay from Argentina and occasionally from Brazi.","It is a resident breeder from southern Mexico south to Bolivia and northern Argentina and on Tobago and Trinidad, although it is very localised on the latter island. Vagrants are occasionally seen in adjacent regions; for example, the species is noted to stray into Uruguay from Argentina and occasionally from Brazil, but it has never been noted to breed or even maintain a permanent presence in the former country.",0,Pale-vented pigeon,inaturalist,3527,True,test,2703491
Papilio bianor,https://en.wikipedia.org/wiki/Papilio_bianor,Where is [this insect] native?,Where is this insect native?,templated,native to Asia.,"Papilio bianor, the Common peacock or Chinese peacock black swallowtail emerald or Chinese peacock is a species of butterfly in the family Papilionidae, the swallowtails. It is native to Asia.",0,Papilio bianor,inaturalist,2011,True,test,2695286
Calotes versicolor,https://en.wikipedia.org/wiki/Oriental_garden_lizard,When is the mating period?,When is the mating period?,templated,1 year old,"Males become highly territorial during breeding season. They discourage intruding males by brightening their red heads and doing ""push-ups"". Each tries to attract a female by inflating his throat and drawing attention to his handsomely colored head. Oviparous; about 10—20 eggs are laid, buried in moist soil. The eggs are long, spindle-shaped and covered with a leathery skin. They hatch in about 6–7 weeks. They are able to breed at about 1 year old.",4,Reproduction,inaturalist,4873,True,test,2708742
Actophilornis africanus,https://en.wikipedia.org/wiki/African_jacana,"What is the habitat of this bird? (e.g. forest, desert, jungle, etc.)",What is the habitat of this bird? ,templated,"floating vegetation in shallow lakes, their preferred habitat","The African jacana (Actophilornis africanus) is a wader in the family Jacanidae, identifiable by long toes and long claws that enable them to walk on floating vegetation in shallow lakes, their preferred habitat.",0,African jacana,inaturalist,3387,True,test,2786501
Actophilornis africanus,https://en.wikipedia.org/wiki/African_jacana,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,four black-marked brown eggs in a floating nest,African jacanas breed throughout sub-Saharan Africa. It is sedentary apart from seasonal dispersion. It lays four black-marked brown eggs in a floating nest.,4,Breeding,inaturalist,3387,True,test,2775598
Campylorhynchus zonatus,https://en.wikipedia.org/wiki/Band-backed_wren,What does this bird eat?,What does this bird eat?,templated,"insects, spiders and other invertebrates.","The band-backed wren forages actively in family groups of 4-12 birds. It eats mainly insects, spiders and other invertebrates.",1,Species description,inaturalist,4255,True,test,2760112
Aythya marila,https://en.wikipedia.org/wiki/Greater_scaup,What is the typical weight of this bird (adult)?,What is the typical weight of this bird when mature?,templated,"726–1,360 g (1.601–2.998 lb).","The adult greater scaup is 39–56 cm (15–22 in) long with a 71–84 cm (28–33 in) wingspan and a body mass of 726–1,360 g (1.601–2.998 lb).",2,Description,inaturalist,3221,True,test,2753218
Asterocampa leilia,https://en.wikipedia.org/wiki/Asterocampa_leilia,What does [this insect] eat?,What does this insect eat?,templated,"dung, sap and rotten fruit and nectar.","Adults feed on dung, sap and rotten fruit. In very rare cases the species will feed on nectar. They live in canyons, streamsides, thorn scrubs, and washes. Males of the species will wait near their food plants for females to appear. Larvae feed on hackberry.",3,Ecology and habitat,inaturalist,1791,True,test,2769749
Hipparchia semele,https://en.wikipedia.org/wiki/Grayling_(butterfly),Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,August,"A grayling goes through four stages in its life cycle. The eggs hatch around August, and larvae grow in four instars from August to the following June. By June, the larvae begin to pupate by spinning a silk cocoon below the surface of the ground. The adult grayling emerges around August. The grayling migrates in small groups of two or three butterflies throughout most of August, typically moving southeast.",0,Grayling (butterfly),inaturalist,1874,True,test,2782291
Ischnura hastata,https://en.wikipedia.org/wiki/Citrine_forktail,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,"April to November, and in the Azores from May to August.","In the southern United States, adults are on the wing year-round, while farther north the flight season is from April to November, and in the Azores from May to August.",3,Life history,inaturalist,2387,True,test,2722970
Melanerpes formicivorus,https://en.wikipedia.org/wiki/Acorn_woodpecker,What is the wingspan of this bird?,What is the wingspan of this bird in cm?,templated,35–43 cm (14–17 in),Measurements: Length: 19–23 cm (7.5–9.1 in) Weight: 65–90 g (2.3–3.2 oz) Wingspan: 35–43 cm (14–17 in),2,Description,inaturalist,4453,True,test,2712288
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,In which country or region does this animal live?,In which country or region does this animal live?,templated,"Massachusetts and Maine in the United States, New Brunswick in Canada","The black-capped chickadee (Poecile atricapillus) is a small, non-migratory, North American songbirds that lives in deciduous and mixed forests. It is a passerine bird in the tit family, the Paridae. It is the state bird of Massachusetts and Maine in the United States, and the provincial bird of New Brunswick in Canada. It is well known for its ability to lower its body temperature during cold winter nights, its good spatial memory to relocate the caches where it stores food, and its boldness near humans (sometimes feeding from the hand).",0,Black-capped chickadee,inaturalist,4037,False,test,2701129
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,Where does this animal reside in winter?,Where does this animal reside in winter?,templated,south,"These birds are permanent residents, but sometimes they move south within their range, and even outside of it, in the fall or winter.",7,Movements,inaturalist,4037,False,test,2741591
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,What does this bird eat?,What does this bird eat?,templated,Seeds and berries,"Insects (especially caterpillars) form a large part of their diet in summer. The birds hop along tree branches searching for food, sometimes hanging upside down or hovering; they may make short flights to catch insects in the air. Seeds and berries become more important in winter, though insect eggs and pupae remain on the menu. Black oil sunflower seeds are readily taken from bird feeders. The birds take a seed in their beak and commonly fly from the feeder to a tree, where they proceed to hammer the seed on a branch to open it.",5,Diet and foraging,inaturalist,4037,False,test,2691978
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,Which animals eat this bird?,Which animals eat this bird?,templated,snake,"Incubation lasts 11–14 days and is by the female only, which is fed by the male. If an unusual disturbance occurs at the nest entrance, the incubating female may utter an explosive hiss, like that of a snake, a probable adaptation to discourage nest predators.",9,Breeding,inaturalist,4037,False,test,2717068
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,"What is the habitat of this bird? (e.g. forest, desert, jungle, etc.)",What is the habitat of this bird? ,templated,dense vegetation,"The vocalizations of the black-capped chickadee are highly complex. Thirteen distinct types of vocalizations have been classified, many of which are complex and can communicate different types of information. Chickadees' complex vocalizations are likely an evolutionary adaptation to their habitat: they live and feed in dense vegetation, and even when the flock is close together, individual birds tend to be out of each other's visual range.",3,Vocalization,inaturalist,4037,False,test,2699068
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,six to eight eggs.,"Eggs are white with fine dots of reddish brown concentrated at the larger end. On average, eggs are 1.52 cm × 1.22 cm (0.60 in × 0.48 in). Clutch size is six to eight eggs.",9,Breeding,inaturalist,4037,False,test,2785611
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,What is the typical weight of this bird (adult)?,What is the typical weight of this bird when mature?,templated,9–14 g (0.32–0.49 oz),"Its total body length is 12–15 cm (4.7–5.9 in), wingspan is 16–21 cm (6.3–8.3 in), and body mass is 9–14 g (0.32–0.49 oz). Sexes look alike, but males are slightly larger and longer than females",2,Description,inaturalist,4037,False,test,2742015
Poecile atricapillus,https://en.wikipedia.org/wiki/Black-capped_chickadee,What is the wingspan of this bird?,What is the wingspan of this bird in cm?,templated,16–21 cm (6.3–8.3 in),"Its total body length is 12–15 cm (4.7–5.9 in), wingspan is 16–21 cm (6.3–8.3 in), and body mass is 9–14 g (0.32–0.49 oz). Sexes look alike, but males are slightly larger and longer than females",2,Description,inaturalist,4037,False,test,2709400
Xylocopa virginica,https://en.wikipedia.org/wiki/Eastern_carpenter_bee,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,eastern United States and into Canada,"Xylocopa virginica, sometimes referred to as the eastern carpenter bee, extends through the eastern United States and into Canada. They are sympatric with Xylocopa micans in much of southeastern United States. They nest in various types of wood and eat pollen and nectar. In X.",0,Eastern carpenter bee,inaturalist,715,True,test,2770377
Polyommatus icarus,https://en.wikipedia.org/wiki/Common_blue,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated, 28–36 millimetres (1.1–1.4 in).,"Polyommatus icarus has a wingspan of 28–36 millimetres (1.1–1.4 in). The dorsal side of the wings is an iridescent lilac blue, bright violet-blue, or almost hyacinth-blue with a thin black border.",3,Description,inaturalist,1520,True,test,2765345
Falco cenchroides,https://en.wikipedia.org/wiki/Nankeen_kestrel,In which country or region does this animal live?,In which country or region does this animal live?,templated,"Australia, New Guinea, and nearby islands, and is an irregular visitor to New Zealand","A very common and easily seen raptor, the nankeen kestrel is found in Australia, New Guinea, and nearby islands, and is an irregular visitor to New Zealand. It occupies any type of land that is not too densely vegetated, but in particular temperate grasslands and open woodlands. In the tropical north and the sandy deserts of the west, it has a patchy and seasonal distribution. It can be seen in Western Australia on coastal cliffs and windy conditions. Also seen on phone lines and power lines.",3,Distribution and habitat,inaturalist,3595,True,test,2737973
Falco femoralis,https://en.wikipedia.org/wiki/Aplomado_falcon,What is the typical weight of this bird (adult)?,What is the typical weight of this bird when mature?,templated," 7.3–10.8 oz (208–305 g) in males,9.6–16 oz (271–460 g) in females","The aplomado falcon is very slender, long-winged, and long-tailed, the size of a small peregrine falcon (F. peregrinus), at 12–16 in (30–40 cm) long and with an average wingspan of about 36 in (90 cm), but only half the weight, at about 7.3–10.8 oz (208–305 g) in males and 9.6–16 oz (271–460 g) in females. In adult birds, the upperparts are dark blue-grey, as is much of the head, with the usual falcon ""moustache"" contrasting sharply with the white throat and eyestripe. The upper breast continues the white of the throat; there are black patches on each side of the lower breast that meet in the middle; the belly and thighs, below the black patches, are light cinnamon. The tail is black with narrow white or grey bars and a white tip. The cere, eye-ring, and feet are yellow or yellow-orange.",1,Description,inaturalist,3597,True,test,2736272
Acanthocercus atricollis,https://en.wikipedia.org/wiki/Acanthocercus_atricollis,What does this reptile eat?,What does this reptile eat?,templated,insect diet,"They subsist on an insect diet, which consists mainly of orthopterans, beetles and ants. Their full diet encompasses various orders (10 recorded) of arthropods. They also eat millipedes, which other lizard taxa tend to avoid.",3,Diet,inaturalist,4866,True,test,2713569
Aeshna mixta,https://en.wikipedia.org/wiki/Migrant_hawker,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,"central and southern Europe, north Africa, Alberta, England, Wales  the Middle East and across Asia to China and Japan,","A. mixta is found throughout central and southern Europe, north Africa, the Middle East and across Asia to China and Japan. As it is a migratory species it can occur outside its normal range and in recent years it has been spreading northwards. For example in the United Kingdom this insect was rare until the 1940s when it began migrating from the continent in large numbers. It continues to do so and is now a resident breeding species throughout England and Wales. It reached the Isle of Man in 1998 and Ireland in 2000. It breeds in lakes and ponds and is tolerant of brackish water. It is also found away from water hawking high amongst trees and bushes, but often resting low on vegetation. A specimen was discovered in early August 2011 adjacent to a riparian park in Calgary, Alberta.",2,Distribution and habitat,inaturalist,2312,False,test,2696606
Aeshna mixta,https://en.wikipedia.org/wiki/Migrant_hawker,Where is [this insect] native?,Where is this insect native?,templated,"North Africa, southern and central Europe to the Baltic region","The migrant hawker (Aeshna mixta) is one of the smaller species of hawker dragonflies. It can be found away from water but for breeding it prefers still or slow-flowing water and can tolerate brackish sites. The flight period is from July to the end of October. A. mixta occurs in North Africa, southern and central Europe to the Baltic region.",0,Migrant hawker,inaturalist,2312,False,test,2765524
Aeshna mixta,https://en.wikipedia.org/wiki/Migrant_hawker,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,July to the end of October,"The migrant hawker (Aeshna mixta) is one of the smaller species of hawker dragonflies. It can be found away from water but for breeding it prefers still or slow-flowing water and can tolerate brackish sites. The flight period is from July to the end of October. A. mixta occurs in North Africa, southern and central Europe to the Baltic region.",0,Migrant hawker,inaturalist,2312,False,test,2765523
Coelophora inaequalis,https://en.wikipedia.org/wiki/Coelophora_inaequalis,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,Australia,"Coelophora inaequalis, the variable ladybird, common Australian lady beetle or common Australian ladybug is a ladybird species endemic to Australia, Oceania and Southern Asia. The variable ladybird gets its name from the black markings on the adult elytra, that vary from one individual to another.",0,Coelophora inaequalis,inaturalist,314,True,test,2692586
Aporia crataegi,https://en.wikipedia.org/wiki/Aporia_crataegi,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,51 to 70 mm (2.0 to 2.8 in).,"The black-veined white has a wingspan of 51 to 70 mm (2.0 to 2.8 in). Females are commonly larger than males. The upperside of both forewings and hindwings is a translucent white boldly veined with black. The underside is similar in the male but the female has brown veining. Moreover, the female loses most of her scales by rubbing her wings together, resulting almost-transparent.",3,Description,inaturalist,2051,True,test,2752621
Quelea quelea,https://en.wikipedia.org/wiki/Red-billed_quelea,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,three eggs in each clutch,"In the breeding season, males are diversely coloured. These differences in plumage do not signal condition, probably serving instead for the recognition of individual birds. However, the intensity of the red on the bills is regarded an indicator of the animal's quality and social dominance. Red-billed quelea males mate with one female only within one breeding cycle. There are usually three eggs in each clutch (though the full range is one to five) of approximately 18 mm (0.71 in) long and 13 mm (0.51 in) in diameter. The eggs are light bluish or greenish in colour, sometimes with some dark spots. Some clutches contain six eggs, but large clutches may be the result of other females dumping an egg in a stranger's nest.",8,Breeding,inaturalist,4155,True,test,2709813
Rupornis magnirostris,https://en.wikipedia.org/wiki/Roadside_hawk,What is the typical weight of this bird (adult)?,What is the typical weight of this bird when mature?,templated,250–300 g (8.8–10.6 oz,"The roadside hawk is 31–41 cm (12–16 in) long and weighs 250–300 g (8.8–10.6 oz). Males are about 20% smaller than females, but otherwise the sexes are similar. In most subspecies, the lower breast and underparts are barred brown and white, and the tail has four or five grey bars",1,Description,inaturalist,3182,True,test,2696799
Anser anser,https://en.wikipedia.org/wiki/Greylag_goose,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,A clutch of three to five eggs is laid,A clutch of three to five eggs is laid; the female incubates the eggs and both parents defend and rear the young,0,Greylag goose,inaturalist,3208,True,test,2727318
Anser anser,https://en.wikipedia.org/wiki/Greylag_goose,What is the typical weight of this bird (adult)?,What is the typical weight of this bird when mature?,templated,3.3 kilograms (7 lb 4 oz),"A large bird, it measures between 74 and 91 centimetres (29 and 36 in) in length, with an average weight of 3.3 kilograms (7 lb 4 oz)",0,Greylag goose,inaturalist,3208,True,test,2707687
Isochaetes beutenmuelleri,https://en.wikipedia.org/wiki/Isochaetes_beutenmuelleri,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,June to August,Females are larger than males and they have a thicker and more blackish spot. Adults are on wing from June to August,0,Isochaetes beutenmuelleri,inaturalist,1432,True,test,2708766
Accipiter nisus,https://en.wikipedia.org/wiki/Eurasian_sparrowhawk,In which country or region does this animal live?,In which country or region does this animal live?,templated,Old World,"The Eurasian sparrowhawk is found throughout the temperate and subtropical parts of the Old World; while birds from the northern parts of the range migrate south for winter, their southern counterparts remain resident or make dispersive movements",0,Eurasian sparrowhawk,inaturalist,3114,False,test,2737454
Accipiter nisus,https://en.wikipedia.org/wiki/Eurasian_sparrowhawk,What does this bird eat?,What does this bird eat?,templated,birds,"It waits, hidden, for birds to come near, then breaks cover and flies out fast and low. A chase may follow, with the hawk even flipping upside-down to grab the victim from below or following it on foot through vegetation.",5,"Food, feeding and predation",inaturalist,3114,False,test,2773474
Accipiter nisus,https://en.wikipedia.org/wiki/Eurasian_sparrowhawk,"What is the habitat of this bird? (e.g. forest, desert, jungle, etc.)",What is the habitat of this bird? ,templated,"woodland types in its range, ","This species is prevalent in most woodland types in its range, and also in more open country with scattered trees",4,Distribution and habitat,inaturalist,3114,False,test,2777798
Accipiter nisus,https://en.wikipedia.org/wiki/Eurasian_sparrowhawk,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,"Four or five pale blue, brown-spotted eggs are laid","Four or five pale blue, brown-spotted eggs are laid; the success of the breeding attempt is dependent on the female maintaining a high weight while the male brings her food.",0,Eurasian sparrowhawk,inaturalist,3114,False,test,2735609
Pseudemys texana,https://en.wikipedia.org/wiki/Texas_river_cooter,In this part of the world does this animal live?,In this part of the world does this animal live?,templated,"Brazos, San Bernard, Colorado, Guadalupe, San Antonio, Nueces, and their tributaries.","The Texas river cooter (Pseudemys texana) is a species of freshwater turtle endemic to the U.S. state of Texas. It is found in the river basins of the Brazos, San Bernard, Colorado, Guadalupe, San Antonio, Nueces, and their tributaries. It is one of three species of cooters (Pseudemys) occurring in Texas, including the Rio Grande cooter (Pseudemys gorzugi) and the river cooter (Pseudemys concinna).",0,Texas river cooter,inaturalist,5150,False,test,2737301
Pseudemys texana,https://en.wikipedia.org/wiki/Texas_river_cooter,How large does this animal become typically?,How large does this animal become typically?,templated,shell length 12+ inches (30.5 cm),"The Texas river cooter is a relatively large turtle, capable of growing to a shell length of 12+ inches (30.5 cm). They are green in color, with yellow and black markings that fade with age. Males can be distinguished from females by their longer tails, longer claws, and overall smaller size.",1,Description,inaturalist,5150,False,test,2716239
Troglodytes hiemalis,https://en.wikipedia.org/wiki/Winter_wren,Where does this animal reside in winter?,Where does this animal reside in winter?,templated,"southeastern Canada, the eastern half the United States and (rarely) north-eastern Mexico","The winter wren (Troglodytes hiemalis) is a very small North American bird and a member of the mainly New World wren family Troglodytidae. It was once lumped with the Pacific wren (Troglodytes pacificus) of western North America and the Eurasian wren (Troglodytes troglodytes) of Eurasia under the name winter wren. It breeds in coniferous forests from British Columbia to the Atlantic Ocean. It migrates through and winters across southeastern Canada, the eastern half the United States and (rarely) north-eastern Mexico. Small numbers may be casual in the western United States and Canada.",0,Winter wren,inaturalist,4263,True,test,2729000
Anasa tristis,https://en.wikipedia.org/wiki/Anasa_tristis,How old does [this insect] become?,How old does this insect become?,templated,3 to 4 months,Adults survive for three or four months.,1,Description,inaturalist,560,True,test,2754619
Plathemis lydia,https://en.wikipedia.org/wiki/Common_whitetail,In which country or region does [this insect] live?,In which country or region does this insect live?,templated, North America,"itetail or long-tailed skimmer (Plathemis lydia) is a common dragonfly across much of North America, with a striking and unusual appearance. The male's chunky white body (about 5 cm or 2 inches long), combined with the brownish-black bands on its otherwise translucent wings, give it a checkered look.",0,Common whitetail,inaturalist,2553,True,test,2750391
Ogdoconta cinereola,https://en.wikipedia.org/wiki/Ogdoconta_cinereola,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,May to September and April to October,Adults are on wing from May to September in the northern part of the range and from April to October in Texas and Florida.,0,Ogdoconta cinereola,inaturalist,1671,True,test,2765110
Ixoreus naevius,https://en.wikipedia.org/wiki/Varied_thrush,"What is the habitat of this bird? (e.g. forest, desert, jungle, etc.)",What is the habitat of this bird? ,templated,"Nests in Alaska, mountains in British Columbia, conifer forest","Nests in Alaska, Yukon Territory, and mountains in British Columbia, Washington, and Oregon. Prefers moist conifer forest. Most common in dense, older conifer forests in high elevations",3,Distribution and habitat,inaturalist,4271,True,test,2755222
Treron calvus,https://en.wikipedia.org/wiki/African_green_pigeon,What does this bird eat?,What does this bird eat?,templated,"exotic Loquats and Mulberries, fruit of Saffrons, Jacket plum, Buffalo thorn, Water berry and Jackalberry.","They also take fruit of Saffrons (Cassine spp.), Jacket plum (Pappea capensis), Buffalo thorn (Ziziphus mucronata), Water berry (Syzygium cordatum) and Jackalberry (Diospyros mespiliformis). They may also feed on exotic Loquats and Mulberries, or on carrion by occasion.",3,Habits,inaturalist,3542,True,test,2725586
Haliastur indus,https://en.wikipedia.org/wiki/Brahminy_kite,"What is the habitat of this bird? (e.g. forest, desert, jungle, etc.)",What is the habitat of this bird? ,templated,coast and in inland wetlands,"They are found mainly on the coast and in inland wetlands, where they feed on dead fish and other prey. Adults have a reddish-brown body plumage contrasting with their white head and breast which make them easy to distinguish from other birds of prey.",0,Brahminy kite,inaturalist,3164,True,test,2783440
Mimus gilvus,https://en.wikipedia.org/wiki/Tropical_mockingbird,How many eggs does this bird typically lay?,How many eggs does this bird typically lay?,templated,two to four but is usually three,The clutch size ranges from two to four but is usually three. The female does most of the incubation during the 13 to 15 day period. Chicks are fed by both parents (and helpers) in the nest for up to 19 days and beyond that after fledging.,6,Breeding,inaturalist,3942,True,test,2737116
Pheucticus melanocephalus,https://en.wikipedia.org/wiki/Black-headed_grosbeak,In which country or region does this animal live?,In which country or region does this animal live?,templated,American Great Plains.,It is sometimes considered conspecific with the rose-breasted grosbeak (P. ludovicianus) with which it hybridizes on the American Great Plains,0,Black-headed grosbeak,inaturalist,3721,True,test,2751175
Crocodylus acutus,https://en.wikipedia.org/wiki/American_crocodile,How many egg does this reptile typically lay?,How many egg does this reptile typically lay?,templated,38 clutch of eggs,The American crocodile is a highly fecund species (38 clutch of eggs; fecundity over 20 after 15 years old) with a high adult survival rate and long life span,3,Characteristics,inaturalist,4861,True,test,2712839
Caretta caretta,https://en.wikipedia.org/wiki/Loggerhead_sea_turtle,In this part of the world does this animal live?,In this part of the world does this animal live?,templated,"Atlantic, Pacific, and Indian Oceans, Mediterranean Sea","The loggerhead sea turtle is found in the Atlantic, Pacific, and Indian Oceans, as well as the Mediterranean Sea. It spends most of its life in saltwater and estuarine habitats, with females briefly coming ashore to lay eggs.",0,Loggerhead sea turtle,inaturalist,5131,True,test,2736256
Coracina novaehollandiae,https://en.wikipedia.org/wiki/Black-faced_cuckooshrike,What does this bird eat?,What does this bird eat?,templated,"insects, their larvae, caterpillars or other invertebrates,fruits and seed","The diet consists of insects, their larvae, caterpillars or other invertebrates. These may be caught in flight, or caught when searching through the foliage. In addition, some fruits and seeds are also eaten.",3,Behaviour,inaturalist,3707,True,test,2764377
Lactarius deliciosus,https://en.wikipedia.org/wiki/Lactarius_deliciosus,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,Pine plantations and Siberian pine forests,Pine plantations and Siberian pine forests are favourable habitats for this species.,4,Distribution and habitat,inaturalist,5704,True,test,2757941
Boletus edulis,https://en.wikipedia.org/wiki/Boletus_edulis,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,deciduous and coniferous forests and tree plantations,"The fungus grows in deciduous and coniferous forests and tree plantations, forming symbiotic ectomycorrhizal associations with living trees by enveloping the tree's underground roots with sheaths of fungal tissue",0,Boletus edulis,inaturalist,5598,True,test,2776678
Suillus spraguei,https://en.wikipedia.org/wiki/Suillus_spraguei,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,roots of the trees,"In nature, Suillus spraguei forms ectomycorrhizal relationships with five-needled pine species. This is a mutually beneficial relationship where the hyphae of the fungus grow around the roots of the trees, enabling the fungus to receive moisture, protection and nutritive byproducts of the tree, and affording the tree greater access to soil nutrients. S. spraguei produces tuberculate ectomycorrhizae (covered with wart-like projections) that are described as aggregates of ectomycorrhizal roots encased in a fungal rind, and rhizomorphs that are tubular fungal cords with a hard outer sheath. The fungus has ecological host specificity, and in natural soils can only associate with white pine, a grouping of trees classified in subgenus Strobus of the genus Pinus. Under controlled pure culture conditions in the laboratory, S. spraguei has also been shown to form associations with red pine, pitch pine, and loblolly pine.",5,"Ecology, habitat and distribution",inaturalist,5619,True,test,2691258
Menemerus semilimbatus,https://en.wikipedia.org/wiki/Menemerus_semilimbatus,"What is the habitat of this animal? (e.g. swamp, mountain, desert etc.)",What is the habitat of this animal? ,templated,gardens and inside and on the outside of houses,These spiders are synanthropic living in gardens and inside and on the outside of houses. It is usually found on the walls of buildings where it stalks its prey.,3,Habitat,inaturalist,87,False,test,2695427
Menemerus semilimbatus,https://en.wikipedia.org/wiki/Menemerus_semilimbatus,In which country or region does this animal live?,In which country or region does this animal live?,templated,"Europe, southern Asia and in Africa","Menemerus semilimbatus is a Mediterranean species widely distributed in Europe, southern Asia and in Africa. In the Americas, it has been reported for Argentina, Chile, Ecuador and USA.",2,Distribution,inaturalist,87,False,test,2707735
